"","x"
"267","1171411765109895168"
"268","1171411385093447682"
"269","1171410698200637441"
"270","1171231865765867520"
"271","1171407858514235395"
"272","1171407746807279617"
"273","1171407639638675462"
"274","1171406607613345794"
"275","1171405342665859073"
"276","1171404605432958977"
"277","1171404073322590208"
"278","1171403937867608065"
"279","1171403417950064641"
"280","1171402876289191938"
"281","1171401943060815875"
"282","1171401250753134592"
"283","1171401037028237313"
"284","1171400338424893441"
"285","1171234442993643521"
"286","1171399813629468672"
"287","1171399238187704321"
"288","1171398680651468800"
"289","1171375406072680448"
"290","1171398452363845632"
"291","1171397916755468291"
"292","1171178565930496006"
"293","1171396786449211393"
"294","1171166911033479171"
"295","1171396140161482752"
"296","1171395846715379713"
"297","1171395720928268288"
"298","1171395599230525440"
"299","1171395255385632771"
"300","1171395187890937858"
"301","1171199483708940288"
"302","1171394853466443776"
"303","1171394124613861378"
"304","1171393696039931904"
"305","1171393172959899648"
"306","1171393092466950144"
"307","1171392545907257344"
"308","1171391261141549057"
"309","1171389083081433088"
"310","1171388783398391808"
"311","1171377142413873152"
"312","1171388465788923904"
"313","1171388013743681536"
"314","1171387602689241088"
"315","1171387135867457536"
"316","1171386979252154368"
"317","1171386237048877057"
"318","1171385501540069376"
"319","1171384970348249088"
"320","1171384958923018240"
"321","1171231358867398657"
"322","1171384691741642753"
"323","1171384514708463616"
"324","1171384243521499136"
"325","1171383372775665664"
"326","1171384200265633792"
"327","1171383881355931649"
"328","1171383967766986753"
"329","1171383765358264320"
"330","1171383629337026561"
"331","1171382900501168128"
"332","1171171557357568001"
"333","1171382849905352712"
"334","1171382739523837953"
"335","1171382348363063303"
"336","1171382084805582849"
"337","1171381460563103745"
"338","1171228011338915840"
"339","1171250300386185216"
"340","1171381254077464576"
"341","1171380958332956674"
"342","1171377453740306433"
"343","1171377400560701440"
"344","1171278723200495616"
"345","1171377251964919808"
"346","1171376248116908032"
"347","1171231439783776256"
"348","1171374955163992065"
"349","1171374317734649858"
"350","1171373232504627200"
"351","1171170751745011714"
"352","1171171400624816133"
"353","1171372069046632449"
"354","1171372523516235779"
"355","1171174466824617989"
"356","1171371832408268800"
"357","1171371836690636800"
"358","1171180339819110402"
"359","1171370145656258560"
"360","1171197980982030338"
"361","1171369970929999872"
"362","1171368394605629440"
"363","1171368303065018369"
"364","1171368242390212608"
"365","1171367288391573504"
"366","1171204649216557057"
"367","1171366126158327808"
"368","1171365816408793090"
"369","1171365664449335297"
"370","1171363654979268608"
"371","1171360519216869378"
"372","1171359987014279168"
"373","1171357192617955328"
"374","1171354519931936769"
"375","1171164727021658112"
"376","1171354516312252416"
"377","1171179302722953216"
"378","1171350723294060544"
"379","1171350301087023104"
"380","1171339102878425088"
"381","1171336489998999553"
"382","1171335743601610752"
"383","1171186229766950913"
"384","1171195995457314817"
"385","1171334616097144832"
"386","1171328254294265856"
"387","1171326851563888640"
"388","1171321470804537344"
"389","1171317387125301248"
"390","1171316736811048961"
"391","1171315374618533888"
"392","1171308691829796864"
"393","1171308689090908160"
"394","1171308679729221633"
"395","1171307299496968192"
"396","1171304946601472000"
"397","1171299111368306688"
"398","1171298009193340928"
"399","1171295110350479360"
"400","1171294647118958596"
"401","1171290287706116096"
"402","1171290158219563008"
"403","1171289745940459520"
"404","1171289530684641280"
"405","1171287570937864192"
"406","1171286352056463360"
"407","1171286097156071424"
"408","1171168210474938369"
"409","1171282446106558465"
"410","1171276432812720128"
"411","1171282395011715078"
"412","1171200289480855552"
"413","1171282114857316352"
"414","1171272439889838081"
"415","1171281553692987392"
"416","1171281549679038465"
"417","1171280591704211456"
"418","1171280393405915136"
"419","1171280161783910401"
"420","1171279338626588672"
"421","1171279005154205696"
"422","1171278024823791616"
"423","1171278023255085056"
"424","1171276471761035264"
"425","1171275081844240385"
"426","1171172691988103178"
"427","1171273720083746816"
"428","1171273206797361154"
"429","1171272649990922241"
"430","1171265368817643520"
"431","1171272015728300032"
"432","1171270633952620554"
"433","1171270525336936449"
"434","1171270152387801090"
"435","1171269807536332805"
"436","1171269537746096128"
"437","1171269352236228608"
"438","1171269113962016769"
"439","1171268012080582656"
"440","1171267880417136640"
"441","1171267838440554496"
"442","1171267097046999041"
"443","1171266484162744321"
"444","1171169493793611776"
"445","1171266191127711745"
"446","1171171140410269698"
"447","1171265555841605632"
"448","1171263635949117440"
"449","1171262843737575425"
"450","1171262724896165888"
"451","1171262089882755073"
"452","1171261752681684993"
"453","1171260615463243776"
"454","1171259929493233667"
"455","1171259702312935424"
"456","1171259457940197376"
"457","1171258035077074949"
"458","1171257996367806464"
"459","1171257509736255488"
"460","1171257056072011777"
"461","1171256605700239360"
"462","1171255354199597056"
"463","1171254873922428929"
"464","1171253484253057024"
"465","1171253219017859072"
"466","1171253146779377664"
"467","1171252034726703104"
"468","1171251813254934529"
"469","1171250847688380416"
"470","1171250676246208512"
"471","1171250519576383488"
"472","1171248669343002624"
"473","1171248286788964353"
"474","1171247852376481795"
"475","1171246846393683969"
"476","1171246098696036352"
"477","1171245910115934208"
"478","1171245159482368000"
"479","1171180700520853505"
"480","1171244913742229505"
"481","1171177992820801541"
"482","1171244846889275393"
"483","1171244343455297537"
"484","1171243823286108162"
"485","1171241695389868033"
"486","1171243819079221249"
"487","1171243756059865090"
"488","1171243735134478337"
"489","1171243560097783808"
"490","1171243266114752517"
"491","1171193110644367361"
"492","1171243138838646791"
"493","1171243095033335809"
"494","1171242933502304256"
"495","1171242361411842048"
"496","1171241898557739010"
"497","1171241446713806848"
"498","1171240271138439168"
"499","1171239452326412294"
"500","1171239147828404224"
